1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 1 -70.55444453785373 0.0002834467120181627
 2 -70.55199985980632 0.0002834467120181627
 3 -37.34245493940161 0.0002834467120181627
 4 -37.32221565297326 0.0002834467120181627
 5 -37.31908306612402 0.0002834467120181627
 6 -37.31750490914408 0.0002834467120181627
 7 -37.31533426273906 0.0002834467120181627
 8 -37.31341070484809 0.0002834467120181627
 9 -0.8570675955494911 0.0002834467120181627
 10 4.319569431344678 0.0002834467120181627
 11 4.765632963117996 0.0002834467120181257
 12 11.79475614283280 0.000000000000000
 13 13.61589707673438 0.000000000000000
 14 15.49004286523003 0.000000000000000
 15 16.51755000838120 0.000000000000000
 16 17.33162691245431 0.000000000000000
 17 18.43371548054930 0.000000000000000
 18 18.43477514226062 0.000000000000000
 19 19.12299893355165 0.000000000000000
 20 19.94330016327980 0.000000000000000

 spin=1 k-point=21/7060 Cartesian=0.05564012855095402 0.04497338047529658 0.000000000000000 (4063 plane wave)
 1 -70.55419872811052 0.0002834467120181627
 2 -70.55189787434544 0.0002834467120181627
 3 -37.34137637193450 0.0002834467120181627
 4 -37.32441384148606 0.0002834467120181627
 5 -37.32056926869907 0.0002834467120181627
 6 -37.31899158950455 0.0002834467120181627
 7 -37.31586094283305 0.0002834467120181627
 8 -37.31385252695064 0.0002834467120181627
 9 -0.6090005666561736 0.0002834467120181627
 10 4.547762299212418 0.0002834467120181627
 11 5.001029388936430 0.0002834467115636095
 12 10.76354429004427 0.000000000000000
 13 13.20157046259615 0.000000000000000
 14 14.95310921004580 0.000000000000000
 15 15.48713832621463 0.000000000000000
 16 16.65251198987796 0.000000000000000
 17 18.01163806550866 0.000000000000000
 18 18.25092603286529 0.000000000000000
 19 19.40635213277528 0.000000000000000
 20 20.32227168615339 0.000000000000000

 spin=1 k-point=22/7060 Cartesian=0.06676815426114208 0.05139814911462275 0.000000000000000 (4068 plane wave)
 1 -70.55392752196363 0.0002834467120181627
 2 -70.55179299238118 0.0002834467120181627
 3 -37.34014990138552 0.0002834467120181627
 4 -37.32680783718387 0.0002834467120181627
 5 -37.32275559909111 0.0002834467120181627
 6 -37.32000252182627 0.0002834467120181627
 7 -37.31648997269560 0.0002834467120181627
 8 -37.31433522230145 0.0002834467120181627
 9 -0.3122419066069609 0.0002834467120181627
 10 4.821766015443513 0.0002834467120178132
 11 5.277446028509117 0.0002834179121386063
 12 9.773771619031045 0.000000000000000
 13 12.81699481323491 0.000000000000000
 14 14.38622492165978 0.000000000000000
 15 14.48873649601820 0.000000000000000
 16 16.03064851245534 0.000000000000000
 17 17.63444182550167 0.000000000000000
 18 18.01192333929168 0.000000000000000
 19 19.50216255649497 0.000000000000000
 20 20.14530569788318 0.000000000000000

 spin=1 k-point=23/7060 Cartesian=0.07789617997133459 0.05782291775395147 0.000000000000000 (4070 plane wave)
 1 -70.55364192334000 0.0002834467120181627
 2 -70.55169267468133 0.0002834467120181627
 3 -37.33881159286759 0.0002834467120181627
 4 -37.32927937361637 0.0002834467120181627
 5 -37.32514295611580 0.0002834467120181627
 6 -37.32087042960920 0.0002834467120181627
 7 -37.31721524716325 0.0002834467120181627
