candidate_id	status	gauge	radial_id	radial_count	low_g_eta_max	half_space_vector_count	basis_count	effective_rank	effective_condition_number	electron_number_relative_error	density_relative_l2	density_min	hartree_error_mev_per_atom	external_error_mev_per_atom	xc_error_mev_per_atom	combined_error_mev_per_atom	fixed_kedf_error_mev_per_atom	pair_equivalence	failed_gates
r08_eta180_complementary	accepted_convergence	complementary	r08	8	1.8	32	73	73	81720.46605843569	3.176718147794115e-13	0.001377029300842161	0.002146760686840079	-0.001076846341208082	0.27715341595158094	0.009194297419412578	0.28527086702978544	0.120816074936414	True	
r08_eta200_explicit	accepted_convergence	explicit	r08	8	2.0	56	121	121	42420771.214874744	3.157474282033945e-13	0.0012689158156558363	0.002156488821861424	-0.0008216395097349061	0.27092333949596537	0.002030340905179173	0.27213204089140963	0.21790567430102215	True	
r08_eta200_complementary	accepted_convergence	complementary	r08	8	2.0	56	121	121	36990.52350371403	3.1663560662309465e-13	0.0012689158156645429	0.0021564894797572527	-0.0008216451689302406	0.270924363255709	0.002030345079617746	0.2721330631663965	0.21790589402215232	True	
r10_eta100_explicit	rejected_convergence	explicit	r10	10	1.0	7	25	25	3336671190.09675	3.161915174132446e-13	0.005614747900808126	0.0012763133455228198	-0.0426286743511195	0.46977518585489264	-0.1297163798064105	0.29743013169736265	7.502728072825704	True	condition_number
r10_eta100_complementary	rejected_convergence	complementary	r10	10	1.0	7	25	25	165046814.70712474	3.163395471498613e-13	0.005614747902139234	0.0012763127442722924	-0.04262867343150789	0.46977619719523744	-0.12971643851145132	0.29743108525227824	7.502737655126879	True	condition_number
r10_eta130_explicit	rejected_convergence	explicit	r10	10	1.3	13	37	37	3343600327.2998776	3.158954579400112e-13	0.0050667152193407524	0.0013505193567249774	-0.057805958270498725	0.19201923270717458	-0.07005156826878078	0.06416170616789507	6.4788652131078095	True	condition_number
r10_eta130_complementary	accepted_convergence	complementary	r10	10	1.3	13	37	37	91482555.80917914	3.1663560662309465e-13	0.005066715217986806	0.0013505183224220797	-0.057805952172890196	0.19202100772997	-0.0700516558254094	0.0641633997316704	6.478875796126715	True	
r10_eta150_explicit	rejected_convergence	explicit	r10	10	1.5	25	61	61	3496856491.41583	3.124907739978274e-13	0.002096621993956108	0.0012340092650326984	-0.0030929933510365215	0.49149533283454616	-0.02367539229197746	0.4647269471915322	4.391170172105774	True	condition_number
r10_eta150_complementary	accepted_convergence	complementary	r10	10	1.5	25	61	61	56631750.03352134	3.157474282033945e-13	0.0020966221331420805	0.0012340082084667074	-0.0030930052957872656	0.4914970847380573	-0.02367544695403012	0.4647286324882399	4.391183456579739	True	
r10_eta160_explicit	rejected_convergence	explicit	r10	10	1.6	29	69	69	3793197242.7154684	3.135269821541442e-13	0.001363376499471979	0.0013366875383127585	-0.0013479342632488622	0.33497831341211537	-0.027110976109412377	0.30651940303945413	2.943363054651371	True	condition_number
r10_eta160_complementary	accepted_convergence	complementary	r10	10	1.6	29	69	69	61054122.713826	3.1663560662309465e-13	0.001363376487247939	0.0013366861171476348	-0.001347947307231423	0.3349807992094611	-0.027111075056041045	0.30652177684618864	2.943376516565621	True	
r10_eta180_explicit	rejected_convergence	explicit	r10	10	1.8	32	75	75	4096131318.1317987	3.148592497836944e-13	0.0013484687459760982	0.001315851120083245	-0.0010910762115734496	0.35645021776886665	-0.03078840302350727	0.32457073853378593	3.1711244003282957	True	condition_number
r10_eta180_complementary	accepted_convergence	complementary	r10	10	1.8	32	75	75	69125168.19511347	3.1663560662309465e-13	0.0013484686564683534	0.0013158511002621925	-0.0010910772407918268	0.3564502918358414	-0.030788400870562782	0.3245708137244868	3.1711241830123527	True	
r10_eta200_explicit	rejected_convergence	explicit	r10	10	2.0	56	123	123	4159445788.8160377	3.150072795203111e-13	0.0012298405655491707	0.0013104087020263746	-0.0008180750269565218	0.3495950242040635	-0.03901286074992072	0.3097640884271863	3.324692207726798	True	condition_number
r10_eta200_complementary	accepted_convergence	complementary	r10	10	2.0	56	123	123	20244554.673672162	3.16931666096328e-13	0.0012298404136555524	0.0013104085320393127	-0.0008180772538279868	0.3495954461874007	-0.03901286446961194	0.30976450446396075	3.324692914151939	True	
