source_experiment_id	audit_experiment_id	scope	material	series_id	solver	volume_ratio	density_format	density_path	density_sha256	expected_electrons	integrated_electrons	relative_error	certified_relative_error	accepted	delta_energy_mev_per_atom	delta_pressure_gpa	scientific_equivalence_accepted	evidence_revision	kmp_contract_accepted	kmp_rank_lifecycle_count	kmp_successful_syscall_count	point_accepted
S1-20260805-060		primary_baseline	mg	ksdft_standard	ksdft	1.0	abacus_reciprocal_restart_little_endian	runs/S1-20260805-060/OUT.s1_mg_v100_ksdft_standard/s1_mg_v100_ksdft_standard-CHARGE-DENSITY.restart	4ec78ef9618ffc651bfbbf8a01724983f6d498723fc341b84581c176fbba56e1	4.0	4.0000000000034035	8.509112718911686e-13	8.509112718911686e-13	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-061		primary_baseline	mg	ksdft_standard	ksdft	1.03	abacus_reciprocal_restart_little_endian	runs/S1-20260805-061/OUT.s1_mg_v103_ksdft_standard/s1_mg_v103_ksdft_standard-CHARGE-DENSITY.restart	01f4a2b5a3b0e632e520fe874c436a3be67b586ffae97f9e773bd8e5e31b78b4	4.0	3.99999999999335	1.662486513245998e-12	1.662486513245998e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-062		primary_baseline	mg	ksdft_standard	ksdft	1.06	abacus_reciprocal_restart_little_endian	runs/S1-20260805-062/OUT.s1_mg_v106_ksdft_standard/s1_mg_v106_ksdft_standard-CHARGE-DENSITY.restart	8847e46bc660ea461dc5751a1b9b94d1206321a469b51a168be9f3c25c1e4a34	4.0	4.000000000010486	2.6215156472290393e-12	2.6215156472290393e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-063		primary_baseline	mg	ksdft_standard	ksdft	1.1000000000000003	abacus_reciprocal_restart_little_endian	runs/S1-20260805-063/OUT.s1_mg_v110_ksdft_standard/s1_mg_v110_ksdft_standard-CHARGE-DENSITY.restart	f8eb75d60435d534dc5c46546f2b3d9d7109a9d441421098cf773c14de10d0f2	4.0	3.9999999999985527	3.618183288753943e-13	3.618183288753943e-13	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-064		primary_baseline	mg	ksdft_half	ksdft	0.9	abacus_reciprocal_restart_little_endian	runs/S1-20260805-064/OUT.s1_mg_v090_ksdft_half/s1_mg_v090_ksdft_half-CHARGE-DENSITY.restart	ee46c671b6745a8fc1afdbbd0856e5f87bb852d9177cf208af71794ed2b7fa65	4.0	4.0000000000066915	1.6729457414727286e-12	1.6729457414727286e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-065		primary_baseline	mg	ksdft_half	ksdft	0.9400000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-065/OUT.s1_mg_v094_ksdft_half/s1_mg_v094_ksdft_half-CHARGE-DENSITY.restart	2eb8c890bdc3f8571d3d3846645e553980b2f99c193c16dc59d43b30dba07c42	4.0	4.000000000019098	4.774475116660255e-12	4.774475116660255e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-066		primary_baseline	mg	ksdft_half	ksdft	0.9700000000000002	abacus_reciprocal_restart_little_endian	runs/S1-20260805-066/OUT.s1_mg_v097_ksdft_half/s1_mg_v097_ksdft_half-CHARGE-DENSITY.restart	8970e6f8181ae9c1f2c6e86df9c7d3d162a74918631f5e36fbdc2a878cf3f7f5	4.0	3.999999999987473	3.1316658331860376e-12	3.1316658331860376e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-067		primary_baseline	mg	ksdft_half	ksdft	1.0	abacus_reciprocal_restart_little_endian	runs/S1-20260805-067/OUT.s1_mg_v100_ksdft_half/s1_mg_v100_ksdft_half-CHARGE-DENSITY.restart	77240d6aa235494c95efb99624513bead6a87f728638e11316ea4bb4b5c9620b	4.0	3.999999999993646	1.5884623827818574e-12	1.5884623827818574e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-068		primary_baseline	mg	ksdft_half	ksdft	1.03	abacus_reciprocal_restart_little_endian	runs/S1-20260805-068/OUT.s1_mg_v103_ksdft_half/s1_mg_v103_ksdft_half-CHARGE-DENSITY.restart	2ea26e52cf2d0f474be5b3c3e55484f2afe2b92ffe3004721872c76ef48ccaac	4.0	3.999999999992823	1.7941952781609225e-12	1.7941952781609225e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
S1-20260805-069		primary_baseline	mg	ksdft_half	ksdft	1.06	abacus_reciprocal_restart_little_endian	runs/S1-20260805-069/OUT.s1_mg_v106_ksdft_half/s1_mg_v106_ksdft_half-CHARGE-DENSITY.restart	db3d8079c6d092fff243621938b19f00bc6bf15737e812108c7737aa01a1233a	4.0	4.00000000001361	3.4023410342721858e-12	3.4023410342721858e-12	True			not_applicable_existing_density	r1_existing_ks_density	not_applicable_existing_density			True
