dimension	local_index	grid	displacement_angstrom	maximum_angle_degrees	principal_angles_degrees	bottom_eigenvalues
4	8	144	0.025	45.12685022919191	[45.12685022919191,11.546678829267762]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
4	9	144	0.05	16.803874672285843	[16.803874672285843,1.3866545914322825]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
5	0	128	-0.05	6.482738844434981	[6.482738844434981,0.9263891533513633]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
5	1	128	-0.025	21.524710566011105	[21.524710566011105,13.70335681934866]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
5	2	128	0.0	62.19723772769049	[62.19723772769049,13.165188318456044]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
5	3	128	0.025	19.53394958590713	[19.53394958590713,11.189292765977443]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
5	4	128	0.05	6.479296743717122	[6.479296743717122,0.911779858571042]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
5	5	144	-0.05	6.59254314208349	[6.59254314208349,0.9262033692251932]	[2.370838336907534e-06,2.748332371215238e-06,2.7906181449689724e-06,6.650375625422977e-06]
5	6	144	-0.025	9.624412084300081	[9.624412084300081,5.135436458026035]	[-5.1963331709900254e-05,-1.6370524244030668e-07,2.675237770152331e-06,2.7906181446522194e-06]
5	7	144	0.0	48.88592098159993	[48.88592098159993,13.351669825626338]	[3.96880628177918e-10,2.7906181446475463e-06,2.7906181448591842e-06,2.7906181449504804e-06]
5	8	144	0.025	11.607138502037865	[11.607138502037865,5.754645260322181]	[-5.049537106195285e-05,-3.5202925664323526e-06,2.5833613348729185e-06,2.790618144996903e-06]
5	9	144	0.05	6.874775087448218	[6.874775087448218,1.0633332636409385]	[2.3950237627406168e-06,2.6249663218707075e-06,2.790618144570574e-06,6.878228837417185e-06]
6	0	128	-0.05	6.478003145714705	[6.478003145714705,0.4232172828612551]	[2.3915817813759094e-06,2.7865577781430305e-06,2.7919465141568682e-06,9.23307071779792e-06]
6	1	128	-0.025	21.46430716812062	[21.46430716812062,13.644105281962737]	[-0.00014956526830983143,-1.0689248027745419e-05,2.600431664178641e-06,2.7919465137713285e-06]
6	2	128	0.0	13.926823980176462	[13.926823980176462,1.892446148534506]	[1.6144345855837424e-09,2.7919465132003114e-06,2.7919465135485207e-06,2.7919465136711148e-06]
6	3	128	0.025	19.490801245186255	[19.490801245186255,11.188944995261577]	[-0.00015254756010165288,-1.768954197021747e-05,2.5490522560242094e-06,2.791946513777139e-06]
6	4	128	0.05	6.472606228204464	[6.472606228204464,0.37019788489263716]	[2.4013553633408032e-06,2.7782196995176035e-06,2.7919465139128842e-06,9.816569864820853e-06]
